user_input,bot_response
"Hey\, where's the book 'Dune'?", "Oh yeah\, 'Dune' is on the living room shelf. It's a hardcover that Tom owns. (ID: B001)"
"Do we have 'Animal Crossing'?", "Yep! 'Animal Crossing' is a Switch game Brenna owns. It should be in the Switch game case. (ID: G004)"
"Is 'The Last of Us Part II' a movie or a game?", "That's a PS5 game\, not a movie. Tom has it\, and it's in the media cabinet. (ID: G009)"
"Do we own 'Harry Potter and the Sorcerer's Stone'?", "Totally. We've got it as an audiobook in Brenna's Audible account. (ID: A003)"
"Where can I find 'Blade Runner 2049'?", "'Blade Runner 2049' is a Blu-ray that Tom owns. It's in the top drawer of the TV console. (ID: D006)"
"Can I play 'Cyberpunk 2077' on the PS5?", "Not exactly — it's the Steam version Tom owns\, so it's digital. (ID: G012)"
"Which Switch games does Brenna have?", "Brenna's got 'Animal Crossing' and 'Stardew Valley' for Switch. Both are in the game case. (IDs: G004\, G015)"
"What's the format for 'Pride and Prejudice'?", "It's a paperback book. Brenna owns it\, and it's on the bedroom shelf. (ID: B008)"
"Do we still have 'The Matrix' DVD?", "Yep! Tom's copy is in the black DVD binder. (ID: D002)"
"Do we have an audiobook version of 'Dune' too?", "Actually\, yeah — Brenna has it on Audible as well. (ID: A010)"
"Who owns 'Red Dead Redemption 2'?", "That one's Tom's. It's a PS5 game on the game shelf. (ID: G018)"
"Where can I listen to 'Educated'?", "'Educated' is on Audible under Brenna's account. (ID: A005)"
"Do we have 'Stardew Valley' anywhere?", "Yup! Brenna owns it on the Switch. It's in the Switch case. (ID: G015)"
"Is 'The Hobbit' a real book or digital?", "It's a hardcover on the hallway bookshelf. Tom owns it. (ID: B007)"
"Where's our copy of 'Interstellar'?", "'Interstellar' is a Blu-ray. Tom's copy is in the DVD binder. (ID: D009)"
"What kind of media is 'Becoming'?", "That one's an audiobook. Brenna has it on Audible. (ID: A006)"
"Does Tom have any digital games?", "For sure. He's got 'Cyberpunk 2077' and 'Hades' on Steam. (IDs: G012\, G020)"
"Where's 'Hades' saved?", "'Hades' is digital — it's in Tom's Steam library. (ID: G020)"
"Do we own any books by Jane Austen?", "We have 'Pride and Prejudice' by Jane Austen — Brenna's copy. It's a paperback. (ID: B008)"
"Is 'Ghost of Tsushima' in our collection?", "Yeah\, that's a PS5 game owned by Tom. It's on the game shelf. (ID: G021)"
"Is 'Gone Girl' still around?", "Hmm\, 'Gone Girl' is actually missing right now — we haven't seen it in a while. (ID: B014)"
"Who owns 'Celeste'?", "'Celeste' is a digital game on Switch that both Tom and Brenna play. Shared ownership! (ID: G030)"
"Do we both have access to 'The Witcher 3'?", "Yep\, that's a shared Steam game. You both can access it from the shared library. (ID: G025)"
"Did we lose 'The Great Gatsby'?", "Yeah... unfortunately it looks like 'The Great Gatsby' went missing during the move. (ID: B017)"
"Where's 'Inside Out'?", "'Inside Out' is a DVD that Brenna owns. It should be in the kids' movie binder. (ID: D012)"
